"Buff_id","Buff_name","Buff_Descript","Buff_type","Buff_school","Buff_endtype","Buff_RemoveAftOffline","Buff_RemoveAftBattle","Buff_RemoveAftDead","Buff_KeepBody","Buff_HideEffect","Buff_Detect","Buff_starttime","Buff_acttime","Buff_nextBuff","Buff_period_type","Buff_Mod_Type_1","Buff_Mod_Type_2","Buff_Mod_Type_3","Buff_Blockcommand","Buff_BlockAction","Buff_BlockSkill","Buff_BlockItemType","Buff_ProtectPK","Buff_BlockPK","Buff_BlockChat","Buff_MoveSpeed","Buff_Value1String","Buff_Value2String","Buff_Value3String","Buff_AntiBuff","Buff_ClearBuff","Buff_IconFile","Buff_EffectFile","Buff_SparkFile","Sound File","Buff_Priority","Buff_TimeOut"
"10","受到物理伤害","受到物理伤害-20%","6","10","0","1","1","0","0","0","0","0","5","0","0","0","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0"
"11","受到魔法伤害","受到魔法伤害-20%","6","11","0","1","1","0","0","0","0","0","5","0","0","0","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0"
"12","受到魔法伤害","受到魔法伤害-10%，法术闪避+10%","6","12","0","1","1","0","0","0","0","0","5","0","0","0","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0"
"20","对敌伤害","对敌伤害+10%","6","20","0","1","1","0","0","0","0","0","8","0","0","0","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0"
"21","对敌伤害速度","对敌伤害+10%速度+10%","6","21","0","1","1","0","0","0","0","0","3 | 8","0","0","11","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0"
"22","对敌伤害","对敌伤害+20%","6","22","0","1","1","0","0","0","0","0","8","0","0","11","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0"
"23","对敌伤害","对敌伤害+25%","6","23","0","1","1","0","0","0","0","0","8","0","0","0","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0"
"30","对敌魔法伤害速度","对敌魔法伤害+30%速度-30%","6","30","0","1","1","0","0","0","0","0","3 | 8","0","0","11","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0"
"31","对敌物理伤害","对敌物理伤害+20%","6","31","0","1","1","0","0","0","0","0","8","0","0","0","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0"
"40","受到伤害速度","速度+10%受到-15%","6","40","0","1","1","0","0","0","0","0","3 | 5","0","0","11","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0"
"41","受到伤害速度","速度-10%受到-15%","6","41","0","1","1","0","0","0","0","0","3 | 5","0","0","11","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0"
"42","速度","速度+10%","2","42","0","1","1","0","0","0","0","0","3","0","0","11","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0"
"43","速度","速度+15%","2","43","0","1","1","0","0","0","0","0","3","0","0","11","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0"
"44","速度","速度+20%","2","44","0","1","1","0","0","0","0","0","3","0","0","11","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0"
"45","对敌伤害速度","对敌伤害+20%速度-10%","6","45","0","1","1","0","0","0","0","0","3 | 8","0","0","11","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0"
"50","相克-10%","相克-10%","6","50","0","1","1","0","0","0","0","0","8","0","0","0","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0"
"51","相克-5%","相克-5%","6","51","0","1","1","0","0","0","0","0","8","0","0","0","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0"
"52","相克+5%","相克+5%","6","52","0","1","1","0","0","0","0","0","8","0","0","0","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0"
"53","相克+10%","相克+10%","6","53","0","1","1","0","0","0","0","0","8","0","0","0","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0"
"54","阵眼光效","阵眼光效","0","54","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","0","effCondit1119.ent","0","0","5","0"
"55","速度","5倍速度","2","55","0","1","1","0","0","0","0","0","3","0","0","11","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0"
"56","明光宝烛","增加7.5％","1","56","1","1","1","0","0","0","0","0","3","0","0","7","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","0","effCondit0139.ent","0","0","5","0"
"57","金身舍利","受到的法术伤害结果减少10%","2","57","1","1","1","0","0","0","0","0","4","0","0","0","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","0","如花解语b.ent","0","0","5","0"
"111","六倍经验","在野外打怪角色会有6倍的经验奖励","1","111","1","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","bufficon200.ent","0","0","0","5","0"
"112","六倍同伴经验","在野外打怪同伴会有6倍的经验奖励","1","112","1","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","bufficon200.ent","0","0","0","5","0"
"113","8倍经验","在野外打怪角色会有8倍的经验奖励","1","113","1","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","bufficon200.ent","0","0","0","5","0"
"114","8倍同伴经验","在野外打怪同伴会有8倍的经验奖励","1","114","1","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","bufficon200.ent","0","0","0","5","0"
"115","官职2经验","杀小日本获得双倍积分","1","115","1","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","bufficon200.ent","0","0","0","5","0"
"116","官职3经验","杀小日本获得3倍积分","1","116","1","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","bufficon200.ent","0","0","0","5","0"
"101","金轮效果","金属性轮转的effect效果","1","101","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","0","a01.ent","0","0","5","0"
"102","木轮效果","木属性轮转的effect效果","1","101","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","0","a02.ent","0","0","5","0"
"103","水轮效果","水属性轮转的effect效果","1","101","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","0","a03.ent","0","0","5","0"
"104","火轮效果","火属性轮转的effect效果","1","101","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","0","a04.ent","0","0","5","0"
"105","土轮效果","土属性轮转的effect效果","1","101","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","0","a05.ent","0","0","5","0"
"106","金字效果","","4","106","0","1","1","1","0","0","0","0","3","0","0","0","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","0","a01.ent","0","0","5","0"
"107","木字效果","","4","107","0","1","1","1","0","0","0","0","3","0","0","0","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","0","a02.ent","0","0","5","0"
"108","水字效果","","4","108","0","1","1","1","0","0","0","0","3","0","0","0","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","0","a03.ent","0","0","5","0"
"109","火字效果","","4","109","0","1","1","1","0","0","0","0","3","0","0","0","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","0","a04.ent","0","0","5","0"
"110","土字效果","","4","110","0","1","1","1","0","0","0","0","3","0","0","0","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","0","a05.ent","0","0","5","0"
"194","临时体质:","附加体质，效果维持至下线前消失","3","194","0","1","0","0","0","0","0","0","3","0","2","11","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0"
"195","临时体质:","附加体质效果","1","195","0","0","0","0","0","0","0","0","3","0","2","11","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0"
"196","临时速度:","附加速度，效果维持至下线前消失","3","196","0","1","0","0","0","0","0","0","3","0","2","11","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0"
"197","临时速度:","附加速度效果","1","197","0","0","0","0","0","0","0","0","3","0","2","11","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0"
"198","临时灵力:","附加灵力，效果维持至下线前消失","3","198","0","1","0","0","0","0","0","0","3","0","2","10","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0"
"199","临时灵力:","附加灵力效果","1","199","0","0","0","0","0","0","0","0","3","0","2","10","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0"
"200","金攻击属性","金攻击属性","3","200","0","0","0","0","0","0","0","0","2","0","2","0","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","bufficon200.ent","0","0","0","5","0"
"201","木攻击属性","木攻击属性","3","201","0","0","0","0","0","0","0","0","2","0","2","0","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","bufficon201.ent","0","0","0","5","0"
"202","水攻击属性","水攻击属性","3","202","0","0","0","0","0","0","0","0","2","0","2","0","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","bufficon202.ent","0","0","0","5","0"
"203","火攻击属性","火攻击属性","3","203","0","0","0","0","0","0","0","0","2","0","2","0","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","bufficon203.ent","0","0","0","5","0"
"204","土攻击属性","土攻击属性","3","204","0","0","0","0","0","0","0","0","2","0","2","0","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","bufficon204.ent","0","0","0","5","0"
"205","金防御属性","金防御属性","3","205","0","0","0","0","0","0","0","0","2","0","2","0","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","bufficon205.ent","0","0","0","5","0"
"206","木防御属性","木防御属性","3","206","0","0","0","0","0","0","0","0","2","0","2","0","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","bufficon206.ent","0","0","0","5","0"
"207","水防御属性","水防御属性","3","207","0","0","0","0","0","0","0","0","2","0","2","0","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","bufficon207.ent","0","0","0","5","0"
"208","火防御属性","火防御属性","3","208","0","0","0","0","0","0","0","0","2","0","2","0","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","bufficon208.ent","0","0","0","5","0"
"209","土防御属性","土防御属性","3","209","0","0","0","0","0","0","0","0","2","0","2","0","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","bufficon209.ent","0","0","0","5","0"
"210","初级避敌","30分钟内不会遭遇等级比自己低的野怪。","1","210","1","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","bufficon210.ent","0","0","0","5","0"
"211","中级避敌","一定时间内不会遭遇等级比自己高5级的敌人。","1","211","1","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","bufficon211.ent","0","0","0","5","0"
"212","高级避敌","30分钟内不会遭遇任何野怪。","1","212","1","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","bufficon212.ent","0","0","0","5","0"
"213","初级遇敌","遇敌率获得提高。","1","213","1","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","bufficon213.ent","0","0","0","5","0"
"214","中级遇敌","一定时间内遇敌调整值Encounter_modify提高35%","1","214","1","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","bufficon214.ent","0","0","0","5","0"
"215","高级遇敌","一定时间内遇敌调整值Encounter_modify提高100%","1","215","0","0","0","0","0","0","0","0","2","0","2","0","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","bufficon215.ent","0","0","0","5","0"
"216","最佳酒量","一定回合内攻击ATK、防御DEF提高3%","1","216","1","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","bufficon216.ent","0","0","0","5","0"
"217","酒醉","一定回合内攻击ATK、防御DEF降低3%","1","217","1","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","bufficon217.ent","0","0","0","5","0"
"218","角色双倍经验","战斗后角色可以获得双倍经验","1","218","1","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","bufficon218.ent","0","0","0","5","0"
"219","新手双倍福利","可与双倍经验以及四倍经验叠加","1","219","1","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","bufficon219.ent","0","0","0","5","0"
"220","经验心得1","战斗后可以获得1/100*该场经验的经验累积，累积上限为10000，经验累积满上限时会生成1本经验心得书（右键使用获得10000经验）","1","220","0","0","0","0","0","0","0","0","2","0","2","0","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","bufficon220.ent","0","0","0","5","0"
"221","经验心得2","战斗后可以获得2/100*该场经验的经验累积，累积上限为20000，经验累积满上限时会生成1本经验心得书（右键使用获得20000经验）","1","221","0","0","0","0","0","0","0","0","2","0","2","0","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","bufficon221.ent","0","0","0","5","0"
"222","经验心得3","战斗后可以获得3/100*该场经验的经验累积，累积上限为30000，经验累积满上限时会生成1本经验心得书（右键使用获得30000经验）","1","222","0","0","0","0","0","0","0","0","2","0","2","0","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","bufficon222.ent","0","0","0","5","0"
"223","经验心得4","战斗后可以获得5/100*该场经验的经验累积，累积上限为50000，经验累积满上限时会生成1本经验心得书（右键使用获得50000经验）","1","223","0","0","0","0","0","0","0","0","2","0","2","0","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","bufficon223.ent","0","0","0","5","0"
"224","普通毒","一定回合内每回合减少5%的气血值Hp","2","17","1","1","1","1","0","0","0","0","4","0","0","0","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0"
"225","普通内封","一定回合内不能使用招式。","2","2","1","1","1","1","0","0","0","0","4","0","0","0","0","0","0","2","0","255","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0"
"226","普通睡眠","一定回合内不能使用任何战斗指令","2","226","1","1","1","1","0","0","0","0","4","0","0","0","0","0","0","255","0","255","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0"
"227","临时攻击:","附加攻击，效果维持至下线前消失","3","227","0","1","0","0","0","0","0","0","3","0","2","6","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0"
"228","临时防御:","附加防御，效果维持至下线前消失","3","228","0","1","0","0","0","0","0","0","3","0","2","7","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0"
"229","临时命中:","附加命中上限，效果维持至下线前消失","3","229","0","1","0","0","0","0","0","0","3","0","2","8","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0"
"230","临时气血:","附加气血上限，效果维持至下线前消失","3","230","0","1","0","0","0","0","0","0","3","0","2","13","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0"
"231","临时魔法:","附加魔法上限，效果维持至下线前消失","3","231","0","1","0","0","0","0","0","0","3","0","2","15","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0"
"232","临时攻击:","附加攻击效果","1","232","0","0","0","0","0","0","0","0","3","0","2","6","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0"
"233","临时防御:","附加防御效果","1","233","0","0","0","0","0","0","0","0","3","0","2","7","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0"
"234","临时命中:","附加命中效果","1","234","0","0","0","0","0","0","0","0","3","0","2","8","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0"
"235","临时气血:","附加气血效果","1","235","0","0","0","0","0","0","0","0","3","0","2","13","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0"
"236","临时魔法:","附加魔法效果","1","236","0","0","0","0","0","0","0","0","3","0","2","15","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0"
"237","金刚","增加3~5级的物理攻防修炼Lv","1","237","0","1","1","0","0","0","0","0","2","0","2","0","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0"
"238","阴阳","增加3~5级的魔法攻防修炼Lv","1","238","0","1","1","0","0","0","0","0","2","0","2","0","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0"
"239","返魂","15%几率死亡后立即复活并得到Hp=MaxHp*10%","1","239","0","1","1","0","0","0","0","0","2","0","2","0","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0"
"240","酒仙","降低20~30%的宠物特技使用消耗","1","240","0","1","1","0","0","0","0","0","2","0","2","0","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0"
"241","已包入银两","","1","241","0","0","0","0","0","0","0","0","2","0","2","0","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0"
"242","祝福","野外战斗中，角色与同伴均获得5%的经验加成。","1","242","1","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","bufficon242.ent","0","0","0","5","0"
"243","加油","野外战斗中的物品掉落率提高5%。","1","243","1","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","bufficon243.ent","0","0","0","5","0"
"244","酿酒状态","酿酒度到达350时可以回酒月九处交任务（离线时酿酒状态会被删除）","1","244","0","1","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","255","0","0","0","0","酿酒度：%d","0","0","0","0","bufficon244.ent","0","0","0","5","0"
"245","禁止PK","","0","245","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","255","0","1","1","0","0","0","0","0","0","0","0","0","0","5","0"
"246","同伴双倍经验","战斗后同伴可以获取双倍经验","1","246","1","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","bufficon225.ent","0","0","0","5","0"
"247","同伴三倍经验","战斗后同伴可以获取三倍经验","1","247","1","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","bufficon0223.ent","0","0","0","5","0"
"249","碧血丹","战斗结束后自动补满自己与参战同伴的气血值","1","249","0","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","255","0","0","0","0","储存气血值：%d","0","0","0","0","bufficon220.ent","0","0","0","5","0"
"250","碧灵丹","战斗结束后自动补满自己与参战同伴的魔法值","1","250","0","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","255","0","0","0","0","储存魔法值：%d","0","0","0","0","bufficon224.ent","0","0","0","5","0"
"251","诱敌铃","野外战斗中遇怪数量增加","1","251","1","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","bufficon216.ent","0","0","0","5","0"
"252","领红包冻结","3小时后才能再次领取红包，计时中。","1","252","1","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","bufficon200.ent","0","0","0","5","0"
"253","宠物骑乘5","提高50%的移动速度","1","253","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","255","0","0","0","200","0","0","0","0","0","0","0","0","0","5","0"
"254","世界性双倍","抓鬼或者野外战斗后角色和同伴均可获得双倍经验","1","254","0","1","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","bufficon254.ent","0","0","0","5","0"
"255","金钱帮经验加成","“勇闯金钱帮”活动中，战斗后角色可以获得一定的经验加成","1","255","1","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","bufficon255.ent","0","0","0","5","0"
"256","金钱帮避敌","“勇闯金钱帮”活动中，玩家在60秒内不会遭遇任何野怪。","1","256","1","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","bufficon256.ent","0","0","0","5","0"
"257","跑镖状态","","1","257","0","0","0","0","0","0","0","0","2","0","2","0","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","bufficon212.ent","0","0","0","5","0"
"258","师门采集状态","","1","258","0","0","0","0","0","0","0","0","2","0","2","0","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0"
"259","任务活动状态","防止玩家在任务活动期间使用跳转功能","1","259","0","0","0","0","0","0","0","0","2","0","2","0","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0"
"260","组队跑镖状态","","1","260","0","0","0","0","0","0","0","0","2","0","2","0","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0"
"261","被困梅花阵","","1","261","1","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","bufficon256.ent","0","0","0","5","0"
"262","碧心丹","战斗结束后自动补满参战同伴的好感度","1","262","0","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","255","0","0","0","0","储存好感度：%d","0","0","0","0","bufficon226.ent","0","0","0","5","0"
"263","极乐之星","使用效果内不会弹出防外挂对话框，自动战斗回合数增加为300回合。","1","263","1","0","0","0","0","0","0","0","3","0","1","0","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","bufficon227.ent","0","0","0","5","0"
"264","护卫状态","一群渔人护卫将会协助你在野外战斗。","1","264","1","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","bufficon228.ent","0","0","0","5","0"
"265","护卫状态","一群顽童护卫将会协助你在野外战斗。","1","265","1","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","bufficon228.ent","0","0","0","5","0"
"266","护卫状态","一群西厂守卫将会协助你在野外战斗。","1","266","1","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","bufficon228.ent","0","0","0","5","0"
"267","护卫状态","一群机器人护卫将会协助你在野外战斗。","1","267","1","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","bufficon228.ent","0","0","0","5","0"
"268","护卫状态","一群欢乐仙子护卫将会协助你在野外战斗。","1","268","1","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","bufficon228.ent","0","0","0","5","0"
"269","护卫状态","一群小火神护卫会将会协助你在野外战斗。","1","269","1","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","bufficon228.ent","0","0","0","5","0"
"270","护卫状态","一群禁宫卫士护卫将会协助你在野外战斗。","1","270","1","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","bufficon228.ent","0","0","0","5","0"
"271","护卫状态","一群郝厨子护卫会将会协助你在野外战斗。","1","271","1","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","bufficon228.ent","0","0","0","5","0"
"272","护卫状态","一群吕素文护卫会将会协助你在野外战斗。","1","272","1","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","bufficon228.ent","0","0","0","5","0"
"273","护卫状态","一群青儿护卫将会协助你在野外战斗。","1","273","1","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","bufficon228.ent","0","0","0","5","0"
"274","护卫状态","一群小梅护卫将会协助你在野外战斗。","1","274","1","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","bufficon228.ent","0","0","0","5","0"
"275","坐牢","通过坐牢能够减少你的杀孽值。","1","275","1","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","bufficon229.ent","0","0","0","5","0"
"276","打坐","在习武洞里通过打坐可以获得经验。","7","276","1","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","bufficon276.ent","0","0","0","5","2"
"277","跑商状态","跑商状态","1","277","0","0","0","0","0","0","0","0","2","0","2","0","0","0","0","0","0","255","0","0","0","0","0","0","0","0","0","bufficon277.ent","0","0","0","5","0"
