"skill_id","skill_type","skill_name","skill_faction","skill_class","skill_reqBaseSkill","skill_reqBaseSkillRank","skill_reqLv","skill_maxRank","skill_active","skill_battleorField","skill_form","skill_targetType","skill_UseElement","skill_Script_Type","skill_UseTime","skill_cooldownType","Skill_PreBuff","Skill_AutoAddBuff","Skill_Animation_Motion","Skill_Animation_Type","Skill_ThrowItemType","Skill_ThrowItemId","Skill_Hide","Skill_AutoSwitch","skill_icon","skill_Effect_Atk","skill_Effect_Hurt","skill_Effect_Spark","skill_Sound_Atk","skill_Sound_Hurt","skill_Sound_Spark","Skill_description","Skill_functionDes"
"212","2","法力陷阱","0","0","0","0","0","1","0","1","12","4","0","0","0","0","0","0","0","0","255","0","0","1","flxj.ent","effAtk0089.ent","effHurt0094.ent","0","0","EffSound0094_hurt.wav","0","0","在己方单个目标前放置3个陷阱，令普通攻击该目标的敌方有一定几率不能行动持续3回合，陷阱成功后消失。"
"213","8","法力陷阱","0","0","0","0","0","1","0","1","12","4","0","0","0","0","0","0","0","0","255","0","0","1","flxj.ent","effAtk0089.ent","effHurt0094.ent","0","0","EffSound0094_hurt.wav","0","0","在己方单个目标前放置3个陷阱，令普通攻击该目标的敌方有一定几率不能行动持续3回合，陷阱成功后消失。"
"214","2","灵能激发","0","0","0","0","0","1","0","1","7","1","0","0","0","0","0","0","0","0","255","0","0","1","lnzf.ent","0","effHurt0020.ent","0","0","EffSound0020_hurt.wav","0","0","启动后增加法术伤害，法力点数越高，越高越好，持续时间5回合"
"215","8","灵能激发","0","0","0","0","0","1","0","1","7","1","0","0","0","0","0","0","0","0","255","0","0","1","lnzf.ent","0","effHurt0020.ent","0","0","EffSound0020_hurt.wav","0","0","启动后增加法术伤害，法力点数越高，越高越好，持续时间5回合"
"216","2","夜舞倾城","0","0","0","0","0","1","0","1","1","5","6","0","0","0","0","0","0","0","255","0","0","1","ywqc.ent","0","effHurt4500.ent","0","0","EffSound0064_hurt.wav","0","0","按自身力量*1.5+速度*30%+攻击*10%对敌方造成直接伤害，攻击人数为(自身等级/50+1)，最多为3人"
"217","8","夜舞倾城","0","0","0","0","0","1","0","1","1","5","6","0","0","0","0","0","0","0","255","0","0","1","ywqc.ent","0","effHurt4500.ent","0","0","EffSound0064_hurt.wav","0","0","按自身力量*1.5+速度*30%+攻击*10%对敌方造成直接伤害，攻击人数为(自身等级/50+1)，最多为3人"
"218","2","翻江倒海","0","0","0","0","0","1","0","1","2","5","3","0","0","0","0","0","1","1","255","0","0","1","skillicon0315.ent","effAtk0036.ent","effHurt0276.ent","0","EffSound0106_atk.wav","0","0","0","按召唤兽等级附加一定的法术伤害，并一定机率使对方灵力降低10%三回合。攻击人数为(自身等级/30+1)，最多为4人"
"219","8","翻江倒海","0","0","0","0","0","1","0","1","2","5","3","0","0","0","0","0","1","1","255","0","0","1","skillicon0315.ent","effAtk0036.ent","effHurt0276.ent","0","EffSound0106_atk.wav","0","0","0","按召唤兽等级附加一定的法术伤害，并一定机率使对方灵力降低10%三回合。攻击人数为(自身等级/30+1)，最多为4人"
"220","2","釜底抽薪","0","0","0","0","0","1","0","1","1","5","6","0","0","0","0","0","2","2","255","0","0","1","skillicon0258.ent","0","effHurt4500.ent","0","EffSound4502_hurt.wav","EffSound0121_hurt.wav","0","0","以一力降十会的威势直接压迫对方，当攻击大于对方防御时，给予对方1.2-2倍重创，低于对方防御时只能造成正常伤害的30%-50%"
"221","8","釜底抽薪","0","0","0","0","0","1","0","1","1","5","6","0","0","0","0","0","2","2","255","0","0","1","skillicon0258.ent","0","effHurt4500.ent","0","EffSound4502_hurt.wav","EffSound0121_hurt.wav","0","0","以一力降十会的威势直接压迫对方，当攻击大于对方防御时，给予对方1.2-2倍重创，低于对方防御时只能造成正常伤害的30%-50%"
"222","8","万剑朝宗","0","0","0","0","0","1","0","1","2","5","0","0","0","0","0","0","2","1","255","0","0","1","skillicon0741.ent","effAtk0615.ent","effHurt0615.ent","effSpark0615.ent","EffSound0615_hurt.wav","EffSound0008_hurt.wav","0","0","对敌方3-6个目标施展外功攻击，一定机率震摄对方无法行动"
"223","8","神·嘲讽","0","0","0","0","0","150","0","1","1","5","0","0","0","0","0","1936","2","1","255","0","0","1","skillicon0225.ent","effAtk4520.ent","effHurt4520.ent","0","EffSound0095_hurt.wav","EffSound0095_spark.wav","0","0","对敌方2-3个目标造成物理伤害，并机率使对方无法使用招式并强制普通攻击自己1回合。"
"224","8","八极·宗师","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","1929 | 2077","0","0","255","0","0","1","bj.ent","0","effHurt0124.ent","0","0","EffSound0124_hurt.wav","0","0","被动技：自古就有“文有太极安天下，武有八极定乾坤。自身等级越高防超高，血量越低攻击越强。"
"225","8","太极·宗师","0","0","0","0","0","1","0","1","12","4","0","0","0","0","0","3050 | 1928","2","1","255","0","0","1","太极.ent","0","effHurt0124.ent","0","0","EffSound0124_hurt.wav","0","0","被动技：所受到的任意伤害减少20%，受到近身攻击100%以自身攻击*1.1倍反击目标"
"226","8","剪云穿雾","0","0","0","0","0","1","0","1","6","5","0","0","0","0","0","0","0","0","255","0","0","1","skillicon0080.ent","effAtk0034.ent","effHurt0118.ent","0","EffSound0052_hurt.wav","EffSound0121_hurt.wav","0","0","必定诱惑对方3个目标，使其自相残杀直到战斗结束，每次战斗只能使用1次。"
"227","8","诱惑","0","0","0","0","0","1","0","1","6","5","0","0","0","0","0","0","0","0","255","0","0","1","诱惑.ent","effAtk0080.ent","effHurt0080.ent","0","EffSound0052_hurt.wav","EffSound0121_hurt.wav","0","0","必定诱惑对方2个目标，使其不能控制随机做操作直到战斗结束，每次战斗只能使用1次。"
"228","8","独孤九剑","0","0","0","0","0","150","0","1","1","5","0","0","0","0","0","3125","2","1","255","0","0","1","skillicon0751.ent","effAtk0618.ent","effHurt0618.ent","0","EffSound0618_hurt.wav","EffSound0008_hurt.wav","0","0","对敌方5个目标施展内功攻击，100%降低目标的攻击、内攻15%，可法连、可法暴机率各加10%、真悲燃怒气加成伤害为110%-150%之间浮动。"
"229","8","天罡霸气","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","1931","0","0","255","0","0","1","skillicon0319.ent","0","0","0","0","0","0","0","进入战斗2个回合内，所受到的内功伤害为0。"
"230","8","九阳罡劲","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","1932","0","0","255","0","0","1","九阳.ent","0","0","0","0","0","0","0","进入战斗2个回合内，所受到的物理伤害为0。"
"231","2","无量真劲","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","1930","0","0","255","0","0","1","skillicon0334.ent","0","0","0","0","0","0","0","受到内功伤害20%机率反弹受到的100%伤害给对方，效果持续10回合。"
"232","2","天罡霸气","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","1931","0","0","255","0","0","1","skillicon0319.ent","0","0","0","0","0","0","0","进入战斗自动使用，在接下来的2回合内，所受到的内功伤害为0。"
"233","8","偷梁换柱","0","0","0","0","0","1","0","1","2","5","0","0","0","0","0","0","2","1","255","0","0","1","skillicon0095.ent","effAtk2251.ent","effHurt2251.ent","0","EffSound0053_hurt.wav","EffSound0034_atk.wav","0","妙手空空，出手不凡","将对方天赋复制到自己身上。"
"234","8","暗影强杀","0","0","0","0","0","1","0","1","12","1","0","0","0","0","0","1704","0","0","255","0","0","1","skillicon8889.ent","0","effHurt2003.ent","0","0","0","0","0","潜伏进入暗处将自身经脉逆行，强行激发潜力，2回合不能任何操作，之后以提高250%攻击、内功属性造成伤害，并取消属性加成。"
"235","8","鹰击长空","0","0","0","0","0","0","0","1","1","5","6","0","0","0","0","2070","0","0","255","0","0","0","styj.ent","0","effHurt0064.ent","0","0","EffSound0064_hurt.wav","0","0","观雄鹰而创，并且在夜间攻防提高，对敌方3个目标施展物理攻击"
"236","8","八极","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","255","0","0","1","bj.ent","0","effHurt0124.ent","0","0","EffSound0124_hurt.wav","0","0","被动技：自古就有“文有太极安天下，武有八极定乾坤。自身等级越高防超高，血量越低攻击越强。"
"237","8","太极","0","0","0","0","0","1","0","1","12","4","0","0","0","0","0","3050 | 1928","2","1","255","0","0","1","太极.ent","0","effHurt0124.ent","0","0","EffSound0124_hurt.wav","0","0","被动技：所受到的任意伤害减少20%，受到近身攻击100%以自身攻击*1.1倍反击目标"
"238","8","立地成佛","0","0","0","0","0","150","0","1","1","5","0","0","0","0","0","3125","2","1","255","0","0","1","skillicon0327.ent","effAtk4505.ent","effHurt4505.ent","0","EffSound0052_hurt.wav","EffSound0079_hurt.wav","0","0","攻守兼备的招式，攻可对敌方3个目标施展内攻攻击，有嗜血狂魔时可以回复自身生命，并有一定几率抵挡住外功或暗器伤害，如果是渡厄学习此技能，目标增加一个"
"239","8","九阳神功","0","0","0","0","0","1","0","1","7","4","0","0","0","0","0","0","0","0","255","0","0","1","九阳.ent","effAtk00136.ent","effHurt0138.ent","0","0","EffSound0152_hurt.wav","0","0","无消耗使用后一定回合内增强己方多个目标的攻击力、防御力和内功，可被狮子吼震散。"
"240","8","狮子吼","0","0","0","0","0","150","0","1","2","5","6","0","0","0","0","0","0","1","255","0","0","1","skillicon0011.ent","effAtk0011.ent","effHurt0011.ent","0","0","EffSound0011_hurt.wav","0","0","以强力声波攻击敌方全体，减少其大量内力，被选择的目标100%被震散万福增益效果。"
"241","8","一阳指","0","0","0","0","0","150","0","1","1","5","0","0","0","0","0","2069","2","1","255","0","0","1","skillicon0781.ent","effAtk0610.ent","effHurt0610.ent","0","EffSound0610_hurt.wav","EffSound0008_hurt.wav","0","0","对敌方2个目标施展强力外功攻击，自身进入嗜血状态，物理攻击回复血量。"
"242","8","万剑归宗","0","0","0","0","0","1","0","1","2","5","0","0","0","0","0","0","2","1","255","0","0","1","skillicon0741.ent","effAtk0615.ent","effHurt0615.ent","effSpark0615.ent","EffSound0615_hurt.wav","EffSound0008_hurt.wav","0","0","对敌方多个目标施展外功攻击，对选择的目标有30%机率封印目标天赋，并对选择的龟息同伴目标30%机率杀死直接使目标飞出战斗。"
"243","8","铁壁","0","0","0","0","0","1","0","1","12","4","0","0","0","0","0","0","0","0","255","0","0","1","skillicon0303.ent","0","effHurt0124.ent","0","0","EffSound0124_hurt.wav","0","0","牺牲自身10%的攻击和内功，提高自身的防御50%持续3-5回"
"244","8","神速","0","0","0","0","0","1","0","1","12","4","0","0","0","0","0","0","0","0","255","0","0","1","skillicon0341.ent","0","effHurt0124.ent","0","0","EffSound0124_hurt.wav","0","0","牺牲自身10%的防御，提高自身的速度50%持续3-5回"
"245","8","凝神","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","1997","0","0","255","0","0","1","skillicon0270.ent","0","0","0","0","0","0","0","施展内功招式时内功伤害提高50%。"
"246","8","暴怒","0","0","0","0","0","1","0","1","12","4","0","0","0","0","0","0","0","0","255","0","0","1","skillicon8888.ent","0","effHurt0124.ent","0","0","EffSound0124_hurt.wav","0","0","牺牲自身30%的防御，提高自身的内功攻击50%持续3-5回"
"247","8","狂暴","0","0","0","0","0","1","0","1","12","4","0","0","0","0","0","0","0","0","255","0","0","1","skillicon8889.ent","0","effHurt0124.ent","0","0","EffSound0124_hurt.wav","0","0","牺牲自身30%的防御，提高自身的外功攻击50%持续3-5回"
"248","2","反击","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","2000","0","0","255","0","0","1","skillicon0248.ent","0","0","0","0","0","0","0","受到普通攻击时有30%几率施展反击，反击伤害为普通攻击伤害的50%。"
"249","2","反震","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","2001","0","0","255","0","0","1","skillicon0249.ent","0","0","0","0","0","0","0","受到近身攻击时有30%几率将伤害反弹，反弹伤害为所受伤害的25%。"
"250","2","偷袭","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","2002","0","0","255","0","0","1","skillicon0250.ent","0","0","0","0","0","0","0","身手灵敏，不会受到反击和反震"
"251","2","连击","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","2003","0","0","255","0","0","1","skillicon0251.ent","0","0","0","0","0","0","0","45%的几率连续两次物理攻击，拥有此技能物理攻击能力会降低25%，如果对方有反震技能，只能攻击一次"
"252","2","飞行","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","2004","0","0","255","0","0","1","skillicon0252.ent","0","0","0","0","0","0","0","躲避能力、物理攻击命中增加20%，但受暗器攻击时伤害会增加30%"
"253","2","隐身","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","2005 | 2075","0","0","255","0","0","1","skillicon0253.ent","0","0","0","0","0","0","0","自动附加地府修罗隐身法术2～3回合，拥有此技能物理攻击能力会降低20%，隐身状态下无法使用法术"
"254","2","感知","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","2006","0","0","255","0","0","1","skillicon0254.ent","0","0","0","0","0","0","0","可以破解地府的修罗隐身、女儿村的楚楚可怜法术效果"
"255","2","再生","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","2007","0","0","255","0","0","1","skillicon0255.ent","0","0","0","0","0","0","0","战斗中每回合自动恢复(自身等级/2)的气血"
"256","2","冥思","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","2008","0","0","255","0","0","1","skillicon0256.ent","0","0","0","0","0","0","0","战斗中每回合自动恢复(自身等级/4)的魔法"
"257","2","慧根","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","2009","0","0","255","0","0","1","skillicon0257.ent","0","0","0","0","0","0","0","使用法术时所消耗的魔法降低为正常的75%"
"258","2","必杀","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","2010","0","0","255","0","0","1","skillicon0258.ent","0","0","0","0","0","0","0","物理攻击时的必杀几率增加10%，出现必杀时伤害结果会加倍"
"259","2","幸运","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","2011","0","0","255","0","0","1","skillicon0259.ent","0","0","0","0","0","0","0","不会受到必杀攻击"
"260","2","神迹","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","2012","0","0","255","0","0","1","skillicon0260.ent","0","0","0","0","0","0","0","每回合结束时自动解除一切异常状态"
"261","2","招架","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","2013","0","0","255","0","0","1","skillicon0261.ent","0","0","0","0","0","0","0","15%的几率完全躲过敌人的物理攻击"
"262","2","永恒","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","2014","0","0","255","0","0","1","skillicon0262.ent","0","0","0","0","0","0","0","受到的辅助类法术效果持续回合加倍，如恢复气血、提升速度等"
"263","2","敏捷","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","255","0","0","1","skillicon0263.ent","0","0","0","0","0","0","0","提升自身速度的10%"
"264","2","强力","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","2016","0","0","255","0","0","1","skillicon0264.ent","0","0","0","0","0","0","0","增加(自身等级×0.52)的攻击，如果对方有防御或高级防御技能，伤害结果会减少20%"
"265","2","防御","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","2017","0","0","255","0","0","1","skillicon0265.ent","0","0","0","0","0","0","0","增加(自身等级×0.6)的防御，但法术伤害能力会降低10%"
"266","2","毒","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","2018","0","0","255","0","0","1","skillicon0266.ent","0","0","0","0","0","0","0","物理攻击时有15%的几率使敌人中毒，中毒后每回合减少10%的气血和5%的魔法"
"267","2","驱鬼","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","2019","0","0","255","0","0","1","skillicon0267.ent","0","0","0","0","0","0","0","对鬼魂类怪物的物理、法术伤害效果增加50%，如果将鬼魂类怪物打死，对方将飞出场外而不能复活"
"268","2","鬼魂术","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","2020","0","0","255","0","0","1","skillicon0268.ent","0","0","0","0","0","0","0","死亡5回合后自动复活，不受异常状态影响，但也不能使用药品和食物恢复气血（可以食用包子）"
"269","2","神佑复生","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","2021","0","0","255","0","0","1","skillicon0269.ent","0","0","0","0","0","0","0","战斗死亡时有15%的几率复活，并恢复一半的气血，如果同时拥有鬼魂术（普通或高级），神佑复生的效果将取消"
"270","2","魔之心","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","2022","0","0","255","0","0","1","skillicon0270.ent","0","0","0","0","0","0","0","对敌人的法术伤害效果提高10%"
"271","2","精神集中","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","2023","0","0","255","0","0","1","skillicon0271.ent","0","0","0","0","0","0","0","精神集中，可以抵御封类异常状态，但自己的物理攻击效果也会降低20%"
"272","2","否定信仰","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","2024","0","0","255","0","0","1","skillicon0272.ent","0","0","0","0","0","0","0","不受异常、辅助效果影响，受到鬼魂类怪物攻击时伤害增加50%，不能同时拥有某些信仰类技能"
"273","2","烈火","0","0","0","0","0","1","0","1","2","5","1","0","0","0","0","0","0","0","255","0","0","1","skillicon0273.ent","0","effHurt0273.ent","0","EffSound0024_atk.wav","0","0","0","天罡正气凝聚后如后羿射日般一触而发，使敌人防不胜防，对单个目标造成法术伤害，并有一定几率降低对方伤害。\r\#W消耗：\#Y30魔法"
"274","2","落岩","0","0","0","0","0","1","0","1","2","5","2","0","0","0","0","0","0","0","255","0","0","1","skillicon0274.ent","0","effHurt0274.ent","0","EffSound0049_hurt.wav","0","0","0","如清风吹过垂柳，招式柔美异常，使人避无可避，对单个目标造成法术伤害，并有一定几率降低对方防御。\r\#W消耗：\#Y30魔法"
"275","2","雷击","0","0","0","0","0","1","0","1","2","5","3","0","0","0","0","0","0","0","255","0","0","1","skillicon0276.ent","0","effHurt0275.ent","0","EffSound0106_atk.wav","0","0","0","整个身体如神龙出水一般，扑向敌人，威力无穷。对单个目标造成法术伤害，并有一定几率降低对方速度。\r\#W消耗：\#Y30魔法"
"276","2","水攻","0","0","0","0","0","1","0","1","2","5","4","0","0","0","0","0","0","0","255","0","0","1","skillicon0277.ent","0","effHurt0276.ent","0","EffSound0121_hurt.wav","EffSound0155_hurt.wav","0","0","体内真气如火山喷发一样，真气涌动，热浪狂泻而出，对单个目标造成法术伤害，并有一定几率降低对方法术。\r\#W消耗：\#Y30魔法"
"277","2","怒劈华山","0","0","0","0","0","1","0","1","2","5","5","0","0","0","0","0","1","1","255","0","0","1","skillicon0275.ent","0","effHurt0275.ent","0","EffSound0013_hurt.wav","0","0","0","攻势破山不可止，对单个目标造成法术伤害，有一定几率降低对方命中和闪避。\r\#W消耗：\#Y30魔法"
"278","2","法术连击","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","2025","0","0","255","0","0","1","skillicon0278.ent","0","0","0","0","0","0","0","使用法术攻击目标时会有一定几率出现连续2次攻击敌人"
"279","2","法术暴击","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","2026","0","0","255","0","0","1","skillicon0279.ent","0","0","0","0","0","0","0","使用法术攻击目标时会有一定几率使法术伤害值加倍"
"280","2","法术波动","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","2027","0","0","255","0","0","1","skillicon0280.ent","0","0","0","0","0","0","0","使用法术攻击目标时伤害在原有伤害值基础上会有大幅度的波动"
"281","2","火属性吸收","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","2028","0","0","255","0","0","1","skillicon0285.ent","0","0","0","0","0","0","0","拥有此招者不受“烈火”和“地狱烈火”招式的附加状态影响，受到的伤害也降低为85%，且有一定几率免受伤害。"
"282","2","枯木神功","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","2029","0","0","255","0","0","1","skillicon0284.ent","0","0","0","0","0","0","0","拥有此招者不受“怒劈华山”和“地动山摇”招式的附加状态影响，受到的伤害也降低为85%，且有一定几率免受伤害。"
"283","2","雷属性吸收","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","2030","0","0","255","0","0","1","skillicon0281.ent","0","0","0","0","0","0","0","拥有此招者不受“雷击”和“奔雷咒”招式的附加状态影响，受到的伤害也降低为85%，且有一定几率免受伤害。"
"284","2","水属性吸收","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","2031","0","0","255","0","0","1","skillicon0282.ent","0","0","0","0","0","0","0","拥有此招者不受“水攻”和“水漫金山”招式的附加状态影响，受到的伤害也降低为85%，且有一定几率免受伤害。"
"285","2","土属性吸收","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","2032","0","0","255","0","0","1","skillicon0283.ent","0","0","0","0","0","0","0","拥有此招者不受“落岩”和“泰山压顶”招式的附加状态影响，受到的伤害也降低为85%，且有一定几率免受伤害。"
"286","2","高级反击","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","2033","0","0","255","0","0","1","skillicon0286.ent","0","0","0","0","0","0","0","受到物理攻击时有30%几率自动反击，反击的伤害与正常攻击相同"
"287","2","高级反震","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","2034","0","0","255","0","0","1","skillicon0287.ent","0","0","0","0","0","0","0","受到物理攻击时有30%几率给予对方反震，反震伤害为所受伤害的50%"
"288","2","高级偷袭","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","2035","0","0","255","0","0","1","skillicon0288.ent","0","0","0","0","0","0","0","身手灵敏，不会受到反击和反震，物理攻击能力提高10%"
"289","2","高级连击","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","2036","0","0","255","0","0","1","skillicon0289.ent","0","0","0","0","0","0","0","55%的几率连续两次物理攻击，拥有此技能物理攻击能力会降低20%，如果对方有反震技能，只能攻击一次"
"290","2","高级飞行","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","255","0","0","1","skillicon0290.ent","0","0","0","0","0","0","0","躲避能力增加30%、物理攻击命中增加20%"
"291","2","高级隐身","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","2038 | 2076","0","0","255","0","0","1","skillicon0291.ent","0","0","0","0","0","0","0","自动附加地府修罗隐身法术3～5回合，拥有此技能物理攻击能力会降低15%，隐身状态下无法使用法术"
"292","2","高级感知","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","2039","0","0","255","0","0","1","skillicon0292.ent","0","0","0","0","0","0","0","破解地府的修罗隐身、女儿村的楚楚可怜法术效果，躲避能力提高10%"
"293","2","高级再生","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","2040","0","0","255","0","0","1","skillicon0293.ent","0","0","0","0","0","0","0","战斗中每回合自动恢复气血，恢复数值与自身等级相同"
"294","2","高级冥思","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","2041","0","0","255","0","0","1","skillicon0294.ent","0","0","0","0","0","0","0","战斗中每回合自动恢复(自身等级/3)的魔法"
"295","2","高级慧根","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","2042","0","0","255","0","0","1","skillicon0295.ent","0","0","0","0","0","0","0","使用法术时所消耗的魔法降低为正常的50%"
"296","2","高级必杀","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","2043","0","0","255","0","0","1","skillicon0296.ent","0","0","0","0","0","0","0","物理攻击时的必杀几率增加20%，出现必杀时伤害结果会加倍"
"297","2","高级幸运","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","2044","0","0","255","0","0","1","skillicon0297.ent","0","0","0","0","0","0","0","不会受到必杀攻击，并有20%几率躲避敌人的法术攻击"
"298","2","高级神迹","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","2045","0","0","255","0","0","1","skillicon0298.ent","0","0","0","0","0","0","0","不受除日月乾坤外的所有异常状态影响"
"299","2","高级招架","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","2046","0","0","255","0","0","1","skillicon0299.ent","0","0","0","0","0","0","0","30%的几率完全躲过敌人的物理攻击"
"300","2","高级永恒","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","2047","0","0","255","0","0","1","skillicon0300.ent","0","0","0","0","0","0","0","受到的辅助类法术效果持续回合数×4"
"301","2","高级敏捷","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","255","0","0","1","skillicon0301.ent","0","0","0","0","0","0","0","提升自身速度的20%"
"302","2","高级强力","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","2049","0","0","255","0","0","1","skillicon0302.ent","0","0","0","0","0","0","0","增加(自身等级×0.715)的攻击，如果对方有防御或高级防御技能，伤害结果会减少20%"
"303","2","高级防御","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","2050","0","0","255","0","0","1","skillicon0303.ent","0","0","0","0","0","0","0","增加(自身等级×0.8)的防御，但法术伤害能力会降低10%"
"304","2","高级毒","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","2051","0","0","255","0","0","1","skillicon0304.ent","0","0","0","0","0","0","0","自身对毒免疫，物理攻击时有20%的几率使敌人中毒，中毒后每回合减少10%的气血和5%的魔法"
"305","2","高级驱鬼","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","2052","0","0","255","0","0","1","skillicon0305.ent","0","0","0","0","0","0","0","对鬼魂类怪物的物理、法术伤害效果加倍，如果将鬼魂类怪物打死，对方将飞出场外而不能复活"
